,ORGANIZATION NAME,ORGANIZATION ID (IPF),PROJECT NUMBER,FUNDING MECHANISM,NIH REFERENCE,PI NAME,PI PERSON ID,PROJECT TITLE,DEPT NAME,NIH DEPT COMBINING NAME,NIH MC COMBINING NAME,DIRECT COST,INDIRECT COST,FUNDING,CONGRESSIONAL DISTRICT,CITY,STATE OR COUNTRY NAME,ZIP CODE,ATTRIBUTED TO MEDICAL SCHOOL,MEDICAL SCHOOL LOCATION,INSTITUTION TYPE,AWARD NOTICE DATE,FOA,MONTH,YEAR,LON,LAT,COUNTY,FIPS
1751,FRED HUTCHINSON CANCER CENTER,10068583,1R01CA277133-01,RPGs - Non SBIR/STTR,10568744,"HUANG, YING",9297264,Accelerating biomarker development through novel statistical methods for analyzing phase III/IV studies,,NONE,UNAVAILABLE,"$238,911 ","$174,504 ","$413,415 ",7,SEATTLE,WASHINGTON,,,,,11/15/2022,PA20-185,11.0,2022.0,-122.3244,47.6211,KING,53033.0
1752,FRED HUTCHINSON CANCER CENTER,10068583,5R01CA234720-06,RPGs - Non SBIR/STTR,10582536,"RONGVAUX, ANTHONY",10777205,Targeting macrophages in metastatic cancer,,NONE,UNAVAILABLE,"$216,901 ","$164,845 ","$381,746 ",7,SEATTLE,WASHINGTON,,,,,1/24/2023,PA18-484,1.0,2023.0,-122.3244,47.6211,KING,53033.0
1753,FRED HUTCHINSON CANCER CENTER,10068583,1R01AI170214-01A1,RPGs - Non SBIR/STTR,10625234,"PETERSON, CHRISTOPHER W",10586734,"Developing Durable, Env-Boosted CAR T Cells for HIV Cure",,NONE,UNAVAILABLE,"$675,171 ","$218,293 ","$893,464 ",7,SEATTLE,WASHINGTON,,,,,11/2/2022,PA20-185,11.0,2022.0,-122.3244,47.6211,KING,53033.0
1754,FRED HUTCHINSON CANCER CENTER,10068583,5U01CA247548-04,RPGs - Non SBIR/STTR,10650136,"HILL, JOSHUA AIDEN",11706357,Humoral immunity after CAR-T cell therapy for B cell malignancies: The HICAR Study,,NONE,UNAVAILABLE,"$343,660 ","$248,362 ","$592,022 ",7,SEATTLE,WASHINGTON,,,,,12/12/2022,RFACA19-044,12.0,2022.0,-122.3244,47.6211,KING,53033.0
1755,FRED HUTCHINSON CANCER CENTER,10068583,5R01HL161037-03,RPGs - Non SBIR/STTR,10656560,"CHENG, GUANG-SHING",12485483,Longitudinal Impact of Respiratory Viruses on Bronchiolitis Obliterans Syndrome in Allogeneic Hematopoietic Cell Transplant Recipients,,NONE,UNAVAILABLE,"$474,854 ","$210,379 ","$685,233 ",7,SEATTLE,WASHINGTON,,,,,1/20/2023,PA20-185,1.0,2023.0,-122.3244,47.6211,KING,53033.0
1756,FRED HUTCHINSON CANCER CENTER,10068583,5R01AR045203-24,RPGs - Non SBIR/STTR,10541152,"TAPSCOTT, STEPHEN J",1859851,D4Z4 Coding Transcripts and FSHD,,NONE,UNAVAILABLE,"$292,201 ","$222,072 ","$514,273 ",7,SEATTLE,WASHINGTON,,,,,12/22/2022,PA19-056,12.0,2022.0,-122.3244,47.6211,KING,53033.0
1757,FRED HUTCHINSON CANCER CENTER,10068583,5K99NS121595-03,Other Research-Related,10532804,"ISABELLA, ADAM JAMES",11131346,Mechanisms of Target-Specific Axon Regeneration,,NONE,UNAVAILABLE,"$114,050 ","$9,124 ","$123,174 ",7,SEATTLE,WASHINGTON,,,,,12/7/2022,PA20-188,12.0,2022.0,-122.3244,47.6211,KING,53033.0
1758,FRED HUTCHINSON CANCER CENTER,10068583,5R01AI140891-06,RPGs - Non SBIR/STTR,10540820,"BLOOM, JESSE D",9021573,Complete mapping of immune selection from antibodies to HIV,,NONE,UNAVAILABLE,"$281,605 ","$207,159 ","$86,051 ",7,SEATTLE,WASHINGTON,,,,,12/23/2022,PA18-484,12.0,2022.0,-122.3244,47.6211,KING,53033.0
1759,FRED HUTCHINSON CANCER CENTER,10068583,5K23AI163343-03,Other Research-Related,10565922,"ZAMORA, DANNIEL",10517294,Cytomegalovirus-specific Immune Reconstitution after Hematopoietic Cell Transplantation in the Era of Modern Antiviral Prophylaxis,,NONE,UNAVAILABLE,"$175,400 ","$14,032 ","$189,432 ",7,SEATTLE,WASHINGTON,,,,,1/25/2023,PA20-205,1.0,2023.0,-122.3244,47.6211,KING,53033.0
1760,FRED HUTCHINSON CANCER CENTER,10068583,5R01HL145276-06,RPGs - Non SBIR/STTR,10656565,"DUDAKOV, JARROD",11385850,Harnessing endogenous mechanisms of thymic regeneration toboost immune function in recipients of hematopoietic cell transplant,,NONE,UNAVAILABLE,"$292,513 ","$220,942 ","$513,455 ",7,SEATTLE,WASHINGTON,,,,,12/31/2022,PA18-484,12.0,2022.0,-122.3244,47.6211,KING,53033.0
1761,FRED HUTCHINSON CANCER CENTER,10068583,5R01CA227092-05,RPGs - Non SBIR/STTR,10628036,"SORROR, MOHAMED",8619084,Novel Intervention Approaches to Alleviate Allogeneic Transplant-Related Morbidity and Mortality,,NONE,UNAVAILABLE,"$435,501 ","$221,482 ","$656,983 ",7,SEATTLE,WASHINGTON,,,,,1/27/2023,PA17-018,1.0,2023.0,-122.3244,47.6211,KING,53033.0
1762,FRED HUTCHINSON CANCER CENTER,10068583,5R01NR017951-05,RPGs - Non SBIR/STTR,10319593,"HARRIS, HOLLY RUTH",9714191,An AHEI Dietary Intervention to Reduce Pain in Women with Endometriosis,,NONE,UNAVAILABLE,"$321,788 ","$182,519 ","$504,307 ",7,SEATTLE,WASHINGTON,,,,,12/30/2022,PA18-141,12.0,2022.0,-122.3244,47.6211,KING,53033.0
1763,FRED HUTCHINSON CANCER CENTER,10068583,5UM1AI069481-18,RPGs - Non SBIR/STTR,10531278,"MCELRATH, MARGARET JULIANA",6365670,Seattle-Lausanne Clinical Trials Unit,,NONE,UNAVAILABLE,"$760,387 ","$88,683 ","$849,070 ",7,SEATTLE,WASHINGTON,,,,,11/17/2022,RFAAI19-045,11.0,2022.0,-122.3244,47.6211,KING,53033.0
1764,FRED HUTCHINSON CANCER CENTER,10068583,5R01AI054423-19,RPGs - Non SBIR/STTR,10563168,"SALAMA, NINA",1977859,Genetic requirements of Helicobacter pylori infection,,NONE,UNAVAILABLE,"$286,528 ","$217,761 ","$504,289 ",7,SEATTLE,WASHINGTON,,,,,2/1/2023,PA20-185,2.0,2023.0,-122.3244,47.6211,KING,53033.0
1765,FRED HUTCHINSON CANCER CENTER,10068583,1R01CA276308-01,RPGs - Non SBIR/STTR,10564590,"HSIEH, ANDREW CALEB",10807181,Transcriptional-translational conflict in bladder epithelial homeostasis and cancer,,NONE,UNAVAILABLE,"$335,982 ","$252,079 ","$588,061 ",7,SEATTLE,WASHINGTON,,,,,11/28/2022,PAR19-183,11.0,2022.0,-122.3244,47.6211,KING,53033.0
1766,FRED HUTCHINSON CANCER CENTER,10068583,5R01AI165821-03,RPGs - Non SBIR/STTR,10573200,"BEDFORD, TREVOR BC",10597055,Forecasting influenza evolution on a heterogeneous immune landscape,,NONE,UNAVAILABLE,"$422,937 ","$321,432 ","$744,369 ",7,SEATTLE,WASHINGTON,,,,,2/1/2023,RFAAI20-055,2.0,2023.0,-122.3244,47.6211,KING,53033.0
1767,FRED HUTCHINSON CANCER CENTER,10068583,5R01HL147324-05,RPGs - Non SBIR/STTR,10656502,"KIEM, HANS-PETER",2090964,Nongenotoxic conditioning for gene therapy and allogeneic transplantation in Fanconi anemia,,NONE,UNAVAILABLE,"$536,477 ","$194,139 ","$730,616 ",7,SEATTLE,WASHINGTON,,,,,12/8/2022,PA19-056,12.0,2022.0,-122.3244,47.6211,KING,53033.0
1768,"FRIENDS RESEARCH INSTITUTE, INC.",1300201,5R01DA045724-04,RPGs - Non SBIR/STTR,10348119,"GRYCZYNSKI, JAN",9736662,Opioid Use Disorder Treatment Linkage at STD Clinics using Buprenorphine (OUTLAST-B),,NONE,UNAVAILABLE,"$459,943 ","$228,077 ","$688,020 ",7,BALTIMORE,MARYLAND,21201,,,Research Institutes,1/30/2023,PA18-345,1.0,2023.0,-76.6144,39.3051,BALTIMORE,24510.0
1772,GEISINGER CLINIC,2200603,5R01HL141901-05,RPGs - Non SBIR/STTR,10542820,"CARRUTH, ERIC DAVID",11884225,A Precision Medicine Approach to Arrhythmogenic Cardiomyopathy,,NONE,UNAVAILABLE,"$366,761 ","$196,646 ","$563,407 ",9,DANVILLE,PENNSYLVANIA,17822,,,Research Institutes,12/27/2022,PA18-484,12.0,2022.0,-121.9698,37.8121,CONTRA COSTA,6013.0
1773,GEISINGER CLINIC,2200603,5R01MH074090-17,RPGs - Non SBIR/STTR,10588201,"MARTIN, CHRISTA LESE",1974246,Gene Dosage Imbalance in Neurodevelopmental Disorders,,NONE,UNAVAILABLE,"$499,328 ","$292,040 ","$791,368 ",9,DANVILLE,PENNSYLVANIA,17822,,,Research Institutes,1/20/2023,PA20-185,1.0,2023.0,-121.9698,37.8121,CONTRA COSTA,6013.0
1774,GEISINGER CLINIC,2200603,4R33HL161775-02,RPGs - Non SBIR/STTR,10584847,"JONES, LANEY K",15275827,Collaborative Approach to Reach Everyone with Familial Hypercholesterolemia: CARE-FH,,NONE,UNAVAILABLE,"$448,918 ","$282,325 ","$731,243 ",9,DANVILLE,PENNSYLVANIA,17822,,,Research Institutes,2/2/2023,RFAHL22-006,2.0,2023.0,-121.9698,37.8121,CONTRA COSTA,6013.0
1775,"GENETAG TECHNOLOGY, INC.",3928501,1R21AI169164-01A1,RPGs - Non SBIR/STTR,10591947,"SHAFER, DAVID A",1869963,Development of a dual-iDDS probe multiplex test for detecting endemic fungal agents,,NONE,UNAVAILABLE,"$150,000 ","$57,000 ","$207,000 ",6,ATLANTA,GEORGIA,,,,None,12/6/2022,PA20-195,12.0,2022.0,-84.422,33.7628,FULTON,13121.0
1776,GEORGE MASON UNIVERSITY,819801,5R21EY032152-02,RPGs - Non SBIR/STTR,10557912,"DREWS-BOTSCH, CAROLYN DAWSON",6676638,Secondary Analyses of data from the Infant Aphakia Treatment Study: Patching in Children with Unilateral Congenital Cataracts and Poor Visual Acuity,GLOBAL AND COMMUNITY HEALTH,OTHER HEALTH PROFESSIONS,SCH ALLIED HEALTH PROFESSIONS,"$184,983 ","$46,181 ","$231,164 ",11,FAIRFAX,VIRGINIA,22030,,,Domestic Higher Education,1/27/2023,PAR19-260,1.0,2023.0,-77.2997,38.8531,FAIRFAX,51600.0
1777,GEORGE MASON UNIVERSITY,819801,5R01ES031079-04,RPGs - Non SBIR/STTR,10527315,"POLLACK, ANNA ZULEMA",14376462,Investigating Mixtures of Pollutants and Endometriosis in Tissue (IMPLANT) Study,GLOBAL AND COMMUNITY HEALTH,OTHER HEALTH PROFESSIONS,SCH ALLIED HEALTH PROFESSIONS,"$170,000 ","$86,085 ","$256,085 ",11,FAIRFAX,VIRGINIA,22030,,,Domestic Higher Education,12/2/2022,PA19-056,12.0,2022.0,-77.2997,38.8531,FAIRFAX,51600.0
1778,GEORGE MASON UNIVERSITY,819801,5K01MD016346-03,Other Research-Related,10588152,"TURPIN, RODMAN EMORY",14461452,"A community-based intervention to increase PrEP initiation among Black sexual minority men in Prince George's County, Maryland: Reducing internalized stigma and increasing social support",GLOBAL AND COMMUNITY HEALTH,OTHER HEALTH PROFESSIONS,SCH ALLIED HEALTH PROFESSIONS,"$113,672 ","$8,768 ","$122,440 ",11,FAIRFAX,VIRGINIA,22030,,,Domestic Higher Education,1/5/2023,PA20-176,1.0,2023.0,-77.2997,38.8531,FAIRFAX,51600.0
1779,GEORGE WASHINGTON UNIVERSITY,2863301,5R25TW011505-04,Other Research-Related,10528469,"HYDER, ADNAN A",7507391,United States-Mali Research Ethics Training Program (US-Mali RETP),,NONE,UNAVAILABLE,"$234,740 ","$7,037 ","$241,777 ",98,WASHINGTON,DIST OF COL,20052,,GEORGE WASHINGTON UNIV SCH OF MEDICINE,Domestic Higher Education,1/3/2023,PAR19-244,1.0,2023.0,-77.0163,38.9047,DISTRICT OF COLUMBIA,11001.0
1780,GEORGE WASHINGTON UNIVERSITY,2863301,1R01DK134311-01,RPGs - Non SBIR/STTR,10555589,"SHIBATA, MAHO",10900556,Regulation of prostate organogenesis by tissue-resident macrophages,ANATOMY AND CELL BIOLOGY,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,"$220,000 ","$135,300 ","$355,300 ",98,WASHINGTON,DIST OF COL,20052,Y,GEORGE WASHINGTON UNIV SCH OF MEDICINE,Domestic Higher Education,1/20/2023,PAR21-038,1.0,2023.0,-77.0163,38.9047,DISTRICT OF COLUMBIA,11001.0
1781,GEORGE WASHINGTON UNIVERSITY,2863301,1R21AI176230-01,RPGs - Non SBIR/STTR,10646710,"HAWDON, JOHN M",1929716,Potential of the bitter melon Momordica charantia as a source of anthelmintics,"MICROBIOLOGY, IMMUNOLOGY, AND TROPICAL MEDICINE",MICROBIOLOGY/IMMUN/VIROLOGY,SCHOOLS OF MEDICINE,"$166,551 ","$86,025 ","$252,576 ",98,WASHINGTON,DIST OF COL,20052,Y,GEORGE WASHINGTON UNIV SCH OF MEDICINE,Domestic Higher Education,1/18/2023,PA20-195,1.0,2023.0,-77.0163,38.9047,DISTRICT OF COLUMBIA,11001.0
1782,GEORGE WASHINGTON UNIVERSITY,2863301,5UM1AI154466-03,RPGs - Non SBIR/STTR,10530587,"MAGNUS, MANYA",8212020,The District of Columbia Clinical Trials Unit (DC CTU),EPIDEMIOLOGY AND BIOSTATISTICS,PUBLIC HEALTH & PREV MEDICINE,SCHOOLS OF PUBLIC HEALTH,"$1,136,668 ","$446,311 ","$1,070,482 ",98,WASHINGTON,DIST OF COL,20052,,GEORGE WASHINGTON UNIV SCH OF MEDICINE,Domestic Higher Education,11/7/2022,RFAAI19-045,11.0,2022.0,-77.0163,38.9047,DISTRICT OF COLUMBIA,11001.0
1783,GEORGE WASHINGTON UNIVERSITY,2863301,5R01CA258357-02,RPGs - Non SBIR/STTR,10576346,"ZHU, WENGE",9223104,The role of And-1 in nucleotide excision repair,BIOCHEMISTRY AND MOLECULAR MEDICINE,BIOCHEMISTRY,SCHOOLS OF MEDICINE,"$276,589 ","$170,102 ","$446,691 ",98,WASHINGTON,DIST OF COL,20052,Y,GEORGE WASHINGTON UNIV SCH OF MEDICINE,Domestic Higher Education,1/26/2023,PA20-185,1.0,2023.0,-77.0163,38.9047,DISTRICT OF COLUMBIA,11001.0
1784,GEORGE WASHINGTON UNIVERSITY,2863301,1R01CA270149-01A1,RPGs - Non SBIR/STTR,10601761,"SETO, EDWARD",1868903,Targeting lysine acetyltransferase MOF/KAT8 in lung cancer,BIOCHEMISTRY AND MOLECULAR MEDICINE,BIOCHEMISTRY,SCHOOLS OF MEDICINE,"$244,693 ","$150,486 ","$395,179 ",98,WASHINGTON,DIST OF COL,20052,Y,GEORGE WASHINGTON UNIV SCH OF MEDICINE,Domestic Higher Education,12/23/2022,PA20-185,12.0,2022.0,-77.0163,38.9047,DISTRICT OF COLUMBIA,11001.0
1785,GEORGE WASHINGTON UNIVERSITY,2863301,3R01NS124477-02S1,RPGs - Non SBIR/STTR,10719354,"BUKRINSKY, MICHAEL ILYA",1872917,Supplement to R01 NS124477,"MICROBIOLOGY, IMMUNOLOGY, AND TROPICAL MEDICINE",MICROBIOLOGY/IMMUN/VIROLOGY,SCHOOLS OF MEDICINE,"$43,450 ","$26,722 ","$70,172 ",98,WASHINGTON,DIST OF COL,20052,Y,GEORGE WASHINGTON UNIV SCH OF MEDICINE,Domestic Higher Education,12/28/2022,PA20-272,12.0,2022.0,-77.0163,38.9047,DISTRICT OF COLUMBIA,11001.0
1786,GEORGE WASHINGTON UNIVERSITY,2863301,1R21AI166279-01A1,RPGs - Non SBIR/STTR,10666263,"HAWDON, JOHN M",1929716,Dissecting the mechanism of pyrantel resistance in hookworm,"MICROBIOLOGY, IMMUNOLOGY, AND TROPICAL MEDICINE",MICROBIOLOGY/IMMUN/VIROLOGY,SCHOOLS OF MEDICINE,"$150,000 ","$92,250 ","$242,250 ",98,WASHINGTON,DIST OF COL,20052,Y,GEORGE WASHINGTON UNIV SCH OF MEDICINE,Domestic Higher Education,1/17/2023,PA20-195,1.0,2023.0,-77.0163,38.9047,DISTRICT OF COLUMBIA,11001.0
1787,GEORGE WASHINGTON UNIVERSITY,2863301,5R01DK131936-02,RPGs - Non SBIR/STTR,10532384,"LIU, CINDY",10180509,"How sex, host microenvironment, and immune responses shape acquisition of genital bacteria that increase HIV risk",ENVIRONMENTAL AND OCCUPATIONAL HEALTH,PUBLIC HEALTH & PREV MEDICINE,SCHOOLS OF PUBLIC HEALTH,"$452,345 ","$161,864 ","$614,209 ",98,WASHINGTON,DIST OF COL,20052,,GEORGE WASHINGTON UNIV SCH OF MEDICINE,Domestic Higher Education,12/21/2022,PAS21-031,12.0,2022.0,-77.0163,38.9047,DISTRICT OF COLUMBIA,11001.0
1788,GEORGE WASHINGTON UNIVERSITY,2863301,5R03EB032464-02,RPGs - Non SBIR/STTR,10551996,"ZDERIC, VESNA",8852530,Therapeutic ultrasound for treatment of hypothyroidism,BIOMEDICAL ENGINEERING,ENGINEERING (ALL TYPES),BIOMED ENGR/COL ENGR/ENGR STA,"$50,000 ","$30,750 ","$80,750 ",98,WASHINGTON,DIST OF COL,20052,,GEORGE WASHINGTON UNIV SCH OF MEDICINE,Domestic Higher Education,11/8/2022,PA20-200,11.0,2022.0,-77.0163,38.9047,DISTRICT OF COLUMBIA,11001.0
1789,GEORGE WASHINGTON UNIVERSITY,2863301,5R13AG071313-03,Other Research-Related,10577890,"TURNER, ROBERT W.",10739811,"Black Male Brain Reserve, Resilience & Alzheimer",CLINICAL RESEARCH AND LEADERSHIP,MISCELLANEOUS,SCHOOLS OF MEDICINE,"$49,750 ",,"$49,750 ",98,WASHINGTON,DIST OF COL,20052,Y,GEORGE WASHINGTON UNIV SCH OF MEDICINE,Domestic Higher Education,1/19/2023,PA18-648,1.0,2023.0,-77.0163,38.9047,DISTRICT OF COLUMBIA,11001.0
1790,GEORGE WASHINGTON UNIVERSITY,2863301,4R00DC018779-03,RPGs - Non SBIR/STTR,10759557,"LEINWAND, SARAH",10460374,Activity-dependent mechanisms for memory circuit maturation.,BIOLOGICAL SCIENCES,BIOLOGY,SCHOOLS OF ARTS AND SCIENCES,"$233,349 ","$15,651 ","$249,000 ",98,WASHINGTON,DIST OF COL,20052,,GEORGE WASHINGTON UNIV SCH OF MEDICINE,Domestic Higher Education,1/30/2023,PAR18-814,1.0,2023.0,-77.0163,38.9047,DISTRICT OF COLUMBIA,11001.0
1791,GEORGE WASHINGTON UNIVERSITY,2863301,5R01MH116252-04,RPGs - Non SBIR/STTR,10530661,"ROSENBLAU, GABRIELA",15018433,Modeling Social and Non-Social Learning in Autism,AUTISM INSTITUTE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$259,417 ","$57,885 ","$317,302 ",98,WASHINGTON,DIST OF COL,20052,Y,GEORGE WASHINGTON UNIV SCH OF MEDICINE,Domestic Higher Education,12/5/2022,PA18-401,12.0,2022.0,-77.0163,38.9047,DISTRICT OF COLUMBIA,11001.0
1792,GEORGE WASHINGTON UNIVERSITY,2863301,5R01DK119652-04,RPGs - Non SBIR/STTR,10544330,"JOSE, PEDRO A.",1898655,"Lipid rafts, dopamine 1 receptor, and hypertension",MEDICINE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$402,737 ","$239,629 ","$642,366 ",98,WASHINGTON,DIST OF COL,20052,Y,GEORGE WASHINGTON UNIV SCH OF MEDICINE,Domestic Higher Education,1/6/2023,PA19-056,1.0,2023.0,-77.0163,38.9047,DISTRICT OF COLUMBIA,11001.0
1793,GEORGE WASHINGTON UNIVERSITY,2863301,1R01CA278229-01,RPGs - Non SBIR/STTR,10607033,"BERG, CARLA J",8307334,Implementing a Scalable Smoke-free Home Intervention in Armenia and Georgia,PREVENTION AND COMMUNITY HEALTH,PUBLIC HEALTH & PREV MEDICINE,SCHOOLS OF PUBLIC HEALTH,"$461,599 ","$153,907 ","$615,506 ",98,WASHINGTON,DIST OF COL,20052,,GEORGE WASHINGTON UNIV SCH OF MEDICINE,Domestic Higher Education,1/23/2023,PAR19-274,1.0,2023.0,-77.0163,38.9047,DISTRICT OF COLUMBIA,11001.0
1794,GEORGE WASHINGTON UNIVERSITY,2863301,1R01DK134574-01,RPGs - Non SBIR/STTR,10564943,"JOSE, PEDRO A.",1898655,D2 receptor variation and renal dysfunction,MEDICINE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$437,158 ","$268,852 ","$706,010 ",98,WASHINGTON,DIST OF COL,20052,Y,GEORGE WASHINGTON UNIV SCH OF MEDICINE,Domestic Higher Education,1/20/2023,PA20-185,1.0,2023.0,-77.0163,38.9047,DISTRICT OF COLUMBIA,11001.0
1795,GEORGETOWN UNIVERSITY,2869001,2R15AI124160-02A1,RPGs - Non SBIR/STTR,10580205,"ROLFES, RONDA J",2092009,Phosphate and Inositol Pyrophosphate Metabolism in Candida albicans,BIOLOGY,BIOLOGY,SCHOOLS OF ARTS AND SCIENCES,"$299,999 ","$158,759 ","$458,758 ",98,WASHINGTON,DIST OF COL,20057,,GEORGETOWN UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,11/18/2022,PAR21-155,11.0,2022.0,-77.0163,38.9047,DISTRICT OF COLUMBIA,11001.0
1796,GEORGETOWN UNIVERSITY,2869001,5R01MH120638-04,RPGs - Non SBIR/STTR,10531250,"MALKOVA, LUDISE",6562749,Limbic-midbrain interactions in defense and emotional arousal,PHARMACOLOGY AND PHYSIOLOGY,PHARMACOLOGY,SCHOOLS OF MEDICINE,"$360,831 ","$195,041 ","$555,872 ",98,WASHINGTON,DIST OF COL,20057,Y,GEORGETOWN UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,12/1/2022,PA19-056,12.0,2022.0,-77.0163,38.9047,DISTRICT OF COLUMBIA,11001.0
1797,GEORGETOWN UNIVERSITY,2869001,1R01AG080623-01,RPGs - Non SBIR/STTR,10590416,"GRESENZ, CAROLE R",3054110,Using Digital Signals from Credit Data for Early Detection of Alzheimer's Disease and Related Dementias,INSTITUTE OF ETHICS,SOCIAL SCIENCES,GRADUATE SCHOOLS,"$444,728 ","$246,669 ","$691,397 ",98,WASHINGTON,DIST OF COL,20057,,GEORGETOWN UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,1/20/2023,PAR22-093,1.0,2023.0,-77.0163,38.9047,DISTRICT OF COLUMBIA,11001.0
1798,GEORGETOWN UNIVERSITY,2869001,5R01CA242750-04,RPGs - Non SBIR/STTR,10542378,"O'NEILL, SUZANNE C",9886890,Peer Support for Young Adult Women with High Breast Cancer Risk,NONE,NONE,ORGANIZED RESEARCH UNITS,"$224,619 ","$101,191 ","$325,810 ",98,WASHINGTON,DIST OF COL,20057,,GEORGETOWN UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,12/23/2022,PAR18-869,12.0,2022.0,-77.0163,38.9047,DISTRICT OF COLUMBIA,11001.0
1799,GEORGETOWN UNIVERSITY,2869001,5F30DC018503-04,Training - Individual,10556417,"POSNER, JOSEPH LEIGH",15476537,Reading Network Functional Pathways and How They Account for Alexic Variation,,NONE,UNAVAILABLE,"$52,694 ",,"$52,694 ",98,WASHINGTON,DIST OF COL,20057,,GEORGETOWN UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,1/12/2023,PA19-192,1.0,2023.0,-77.0163,38.9047,DISTRICT OF COLUMBIA,11001.0
1800,GEORGETOWN UNIVERSITY,2869001,5R03AI163978-02,RPGs - Non SBIR/STTR,10559689,"ALVA, MARIA LILIANA",16227364,The use of online obituaries as a tool for public health surveillance,PUBLIC POLICY INSTITUTE,SOCIAL SCIENCES,GRADUATE SCHOOLS,"$50,000 ","$28,000 ","$78,000 ",98,WASHINGTON,DIST OF COL,20057,,GEORGETOWN UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,1/18/2023,PA20-200,1.0,2023.0,-77.0163,38.9047,DISTRICT OF COLUMBIA,11001.0
1801,GEORGETOWN UNIVERSITY,2869001,2R01CA210440-07A1,RPGs - Non SBIR/STTR,10585320,"SLINGERLAND, JOYCE MARIE",7648819,"Mechanistic Links Between Changing Estrogen Profiles, Inflammation and the Increased Risk and Metastasis of Breast Cancer in Obese Women",ONCOLOGY,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$245,207 ","$137,316 ","$382,523 ",98,WASHINGTON,DIST OF COL,20057,Y,GEORGETOWN UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,11/23/2022,PA20-185,11.0,2022.0,-77.0163,38.9047,DISTRICT OF COLUMBIA,11001.0
1802,GEORGETOWN UNIVERSITY,2869001,5R01AI056312-16,RPGs - Non SBIR/STTR,10515336,"ROEPE, PAUL D.",1872188,The Function of Antimalarial Drug Resistance Proteins,"BIOCHEMISTRY, MOLEC BIOLOGY AND CELL BIOLOGY",BIOCHEMISTRY,SCHOOLS OF MEDICINE,"$440,026 ","$57,146 ","$497,172 ",98,WASHINGTON,DIST OF COL,20057,Y,GEORGETOWN UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,10/27/2022,PA20-185,10.0,2022.0,-77.0163,38.9047,DISTRICT OF COLUMBIA,11001.0
1803,GEORGETOWN UNIVERSITY,2869001,5R01DK127830-03,RPGs - Non SBIR/STTR,10535466,"LEVI, MOSHE",1944368,Role of Estrogen Related Receptors in Age Related Kidney Disease,"BIOCHEMISTRY, MOLEC BIOLOGY AND CELL BIOLOGY",BIOCHEMISTRY,SCHOOLS OF MEDICINE,"$327,464 ","$151,591 ","$479,055 ",98,WASHINGTON,DIST OF COL,20057,Y,GEORGETOWN UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,12/15/2022,PA19-056,12.0,2022.0,-77.0163,38.9047,DISTRICT OF COLUMBIA,11001.0
1804,GEORGETOWN UNIVERSITY,2869001,5R00GM127752-05,RPGs - Non SBIR/STTR,10540416,"BRASELMANN, ESTHER",12045047,RNA tools for probing spliceosome dynamics,CHEMISTRY,CHEMISTRY,SCHOOLS OF ARTS AND SCIENCES,"$143,792 ","$74,980 ","$218,772 ",98,WASHINGTON,DIST OF COL,20057,,GEORGETOWN UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,12/6/2022,PA16-193,12.0,2022.0,-77.0163,38.9047,DISTRICT OF COLUMBIA,11001.0
1805,GEORGETOWN UNIVERSITY,2869001,5R01CA248543-03,RPGs - Non SBIR/STTR,10545174,"HURTADO DE MENDOZA CASAUS, ALEJANDRA",11086716,Testing a culturally targeted narrative video to reduce disparities in the use of genetic counseling and testing in Latina women at-risk of HBOC,ONCOLOGY,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$368,528 ","$135,442 ","$503,970 ",98,WASHINGTON,DIST OF COL,20057,Y,GEORGETOWN UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,12/20/2022,PAR18-559,12.0,2022.0,-77.0163,38.9047,DISTRICT OF COLUMBIA,11001.0
1806,GEORGETOWN UNIVERSITY,2869001,5F30NS122281-02,Training - Individual,10557805,"CHAPMAN, DANIEL",16548706,Interrogating Synaptic Mechanisms Underlying Contextual Fear Conditioning Amnesia in Rodent Model of Highly Repetitive Mild Traumatic Brain Injury,NEUROSCIENCE,NEUROSCIENCES,SCHOOLS OF MEDICINE,"$34,052 ",,"$34,052 ",98,WASHINGTON,DIST OF COL,20057,Y,GEORGETOWN UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,1/5/2023,PA21-050,1.0,2023.0,-77.0163,38.9047,DISTRICT OF COLUMBIA,11001.0
